Date,Open,High,Low,Close,Adj Close,Volume
1985-01-07,2.253606,2.278646,2.248598,2.268630,0.831095,7790000
1985-01-08,2.263622,2.283654,2.263622,2.273638,0.832929,9993900
1985-01-09,2.278646,2.323718,2.273638,2.298678,0.842103,19835700
1985-01-10,2.293670,2.353766,2.283654,2.353766,0.862284,18545200
1985-01-11,2.348758,2.348758,2.313702,2.323718,0.851276,15604900
1985-01-14,2.318710,2.383814,2.313702,2.383814,0.873292,24233600
1985-01-15,2.383814,2.403846,2.353766,2.373798,0.869622,20527100
1985-01-16,2.373798,2.393830,2.343750,2.363782,0.865954,17669100
1985-01-17,2.368790,2.413862,2.363782,2.388822,0.875126,25109700
1985-01-18,2.413862,2.438902,2.403846,2.423878,0.887968,14718900
1985-01-21,2.443910,2.544070,2.443910,2.539063,0.930165,34619500
1985-01-22,2.539063,2.559095,2.498998,2.509014,0.919158,33720900
1985-01-23,2.514022,2.574119,2.514022,2.574119,0.943008,25658800
1985-01-24,2.564103,2.569111,2.534055,2.539063,0.930165,20639400
1985-01-25,2.549078,2.584135,2.544070,2.554086,0.935670,11898400
1985-01-28,2.554086,2.579127,2.544070,2.544070,0.932000,18163300
1985-01-29,2.554086,2.599159,2.539063,2.599159,0.952181,11404200
1985-01-30,2.599159,2.614183,2.559095,2.559095,0.937504,25708800
1985-01-31,2.559095,2.574119,2.544070,2.559095,0.937504,12699600
1985-02-01,2.514022,2.559095,2.504006,2.519030,0.922827,14783800
1985-02-04,2.498998,2.574119,2.493990,2.564103,0.939339,17130000
1985-02-05,2.564103,2.579127,2.534055,2.539063,0.930165,17090100
1985-02-06,2.549078,2.554086,2.529047,2.534055,0.928331,16511000
1985-02-07,2.544070,2.594151,2.544070,2.579127,0.944843,16728100
1985-02-08,2.579127,2.584135,2.564103,2.569111,0.941174,14257100
1985-02-11,2.554086,2.559095,2.524039,2.529047,0.926497,11524000
1985-02-12,2.519030,2.554086,2.514022,2.534055,0.928331,11409200
1985-02-13,2.544070,2.614183,2.534055,2.594151,0.950347,13588200
1985-02-14,2.604167,2.609175,2.539063,2.544070,0.932000,15128200
1985-02-15,2.544070,2.559095,2.509014,2.529047,0.926497,10735200
1985-02-19,2.539063,2.554086,2.529047,2.544070,0.932000,15644900
1985-02-20,2.544070,2.579127,2.534055,2.544070,0.932000,19446300
1985-02-21,2.529047,2.539063,2.514022,2.514022,0.920993,8114400
1985-02-22,2.509014,2.524039,2.488982,2.498998,0.915489,8813300
1985-02-25,2.488982,2.509014,2.453926,2.498998,0.915489,11860900
1985-02-26,2.498998,2.599159,2.498998,2.579127,0.944843,14509200
1985-02-27,2.569111,2.594151,2.549078,2.559095,0.937504,10031400
1985-02-28,2.524039,2.579127,2.519030,2.549078,0.941947,17636700
1985-03-01,2.559095,2.599159,2.554086,2.569111,0.949350,20963900
1985-03-04,2.589143,2.594151,2.534055,2.549078,0.941947,11504000
1985-03-05,2.559095,2.574119,2.539063,2.564103,0.947499,16039200
1985-03-06,2.559095,2.569111,2.539063,2.539063,0.938246,14144800
1985-03-07,2.534055,2.534055,2.509014,2.514022,0.928994,13940100
1985-03-08,2.529047,2.534055,2.504006,2.504006,0.925292,21767600
1985-03-11,2.504006,2.524039,2.498998,2.509014,0.927143,11471600
1985-03-12,2.504006,2.554086,2.498998,2.509014,0.927143,15550000
1985-03-13,2.504006,2.519030,2.483974,2.483974,0.917890,11868400
1985-03-14,2.483974,2.498998,2.478966,2.478966,0.916039,10320900
1985-03-15,2.488982,2.498998,2.453926,2.453926,0.906787,17856300
1985-03-18,2.463942,2.478966,2.433894,2.438902,0.901235,12712100
1985-03-19,2.448918,2.524039,2.443910,2.519030,0.930844,15083300
1985-03-20,2.504006,2.519030,2.483974,2.498998,0.923443,11778600
1985-03-21,2.488982,2.519030,2.468950,2.483974,0.917890,12944200
1985-03-22,2.493990,2.493990,2.438902,2.478966,0.916039,13940100
1985-03-25,2.438902,2.453926,2.428886,2.443910,0.903085,15570000
1985-03-26,2.403846,2.418870,2.388822,2.393830,0.884579,42157400
1985-03-27,2.383814,2.418870,2.378806,2.403846,0.888281,25209600
1985-03-28,2.418870,2.428886,2.363782,2.368790,0.875327,33671000
1985-03-29,2.343750,2.368790,2.338742,2.368790,0.875327,35642800
1985-04-01,2.363782,2.398838,2.353766,2.398838,0.886430,15165600
1985-04-02,2.403846,2.433894,2.398838,2.413862,0.891982,18665000
1985-04-03,2.408854,2.418870,2.403846,2.418870,0.893833,15015900
1985-04-04,2.408854,2.418870,2.393830,2.413862,0.891982,10840100
1985-04-08,2.408854,2.413862,2.368790,2.383814,0.880878,12260300
1985-04-09,2.378806,2.398838,2.378806,2.378806,0.879027,12123000
1985-04-10,2.383814,2.398838,2.368790,2.368790,0.875327,12884300
1985-04-11,2.378806,2.398838,2.378806,2.383814,0.880878,14943500
1985-04-12,2.388822,2.388822,2.368790,2.388822,0.882729,7632700
1985-04-15,2.383814,2.388822,2.368790,2.378806,0.879027,11182000
1985-04-16,2.378806,2.378806,2.348758,2.373798,0.877176,14659000
1985-04-17,2.383814,2.388822,2.363782,2.373798,0.877176,9157800
1985-04-18,2.388822,2.393830,2.358774,2.363782,0.873476,10171200
