Date,Open,High,Low,Close,Adj Close,Volume
1983-01-06,3.125,3.164063,3.085938,3.085938,1.272593,7686400
1983-01-07,3.117188,3.140625,3.085938,3.101563,1.279037,7732800
1983-01-10,3.085938,3.117188,3.046875,3.0625,1.262928,5948800
1983-01-11,3.039063,3.078125,2.992188,3.015625,1.243597,5862400
1983-01-12,3.054688,3.09375,3.007813,3.070313,1.266149,8811200
1983-01-13,3.054688,3.078125,3.03125,3.046875,1.256484,2612800
1983-01-14,3.070313,3.09375,3.046875,3.078125,1.269372,4531200
1983-01-17,3.117188,3.132813,3.09375,3.109375,1.282259,5368000
1983-01-18,3.085938,3.101563,3.0625,3.070313,1.266149,2592000
1983-01-19,3.046875,3.070313,3.015625,3.0625,1.262928,3046400
1983-01-20,3.0625,3.085938,3.039063,3.0625,1.262928,2755200
1983-01-21,3,3.070313,2.921875,2.960938,1.221045,4020800
1983-01-24,2.914063,2.945313,2.875,2.921875,1.204936,3777600
1983-01-25,2.984375,3.03125,2.9375,3.015625,1.243597,3824000
1983-01-26,2.976563,3.015625,2.9375,2.96875,1.224267,2337600
1983-01-27,3.03125,3.085938,2.96875,3.0625,1.262928,3153600
1983-01-28,3.039063,3.078125,3,3.023438,1.24682,2777600
1983-01-31,3.007813,3.03125,2.984375,3.023438,1.24682,1912000
1983-02-01,3.023438,3.054688,2.984375,2.984375,1.230711,2760000
1983-02-02,2.9375,2.953125,2.914063,2.914063,1.201715,5364800
1983-02-03,2.914063,2.945313,2.875,2.875,1.185606,4806400
1983-02-04,2.898438,2.921875,2.867188,2.875,1.185606,8208000
1983-02-07,2.921875,2.953125,2.890625,2.914063,1.201715,5416000
1983-02-08,2.898438,2.929688,2.867188,2.898438,1.195272,5132800
1983-02-09,2.875,2.898438,2.851563,2.875,1.185606,5097600
1983-02-10,2.890625,2.90625,2.867188,2.882813,1.188828,4476800
1983-02-11,2.867188,2.914063,2.8125,2.84375,1.172719,5587200
1983-02-14,2.867188,2.882813,2.84375,2.875,1.185606,5177600
1983-02-15,2.898438,2.914063,2.882813,2.898438,1.195272,6505600
1983-02-16,2.890625,2.921875,2.859375,2.882813,1.188828,5425600
1983-02-17,2.890625,2.898438,2.875,2.898438,1.195272,3356800
1983-02-18,2.898438,2.914063,2.875,2.890625,1.198513,5628800
